epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,100450,0.08254,0.19544,0.13942,0.99496,0.99508,0.99362,0.98277,0.04243,0.1135,0.1121,3.119e-05,3.119e-05,3.119e-05
40,103050,0.08263,0.19431,0.13956,0.99554,0.99519,0.99361,0.98292,0.04231,0.11295,0.11178,3.0695e-05,3.0695e-05,3.0695e-05
41,105657,0.08236,0.19379,0.13891,0.99538,0.99528,0.99363,0.98294,0.04228,0.11219,0.11116,3.02e-05,3.02e-05,3.02e-05
42,108273,0.08166,0.19228,0.13835,0.99536,0.99528,0.99364,0.98257,0.04215,0.11228,0.11083,2.9705e-05,2.9705e-05,2.9705e-05
43,110884,0.08154,0.19225,0.13865,0.9951,0.9951,0.99357,0.98275,0.04196,0.11229,0.1104,2.921e-05,2.921e-05,2.921e-05
44,113489,0.08183,0.19333,0.13785,0.9954,0.99528,0.9937,0.98281,0.04195,0.11164,0.11023,2.8715e-05,2.8715e-05,2.8715e-05
45,116103,0.08117,0.19112,0.13774,0.99576,0.99474,0.99366,0.98255,0.04148,0.11288,0.10821,2.822e-05,2.822e-05,2.822e-05
46,118708,0.08094,0.19052,0.13791,0.99544,0.99522,0.99372,0.98253,0.04143,0.11222,0.10805,2.7725e-05,2.7725e-05,2.7725e-05
47,121315,0.08138,0.18921,0.1377,0.9955,0.9952,0.99378,0.98258,0.04139,0.11232,0.10793,2.723e-05,2.723e-05,2.723e-05
48,123926,0.0797,0.18794,0.13443,0.99564,0.99486,0.99379,0.98267,0.04133,0.11244,0.10779,2.6735e-05,2.6735e-05,2.6735e-05
49,126535,0.08155,0.19069,0.13754,0.99516,0.99527,0.99379,0.9832,0.0412,0.11224,0.10745,2.624e-05,2.624e-05,2.624e-05
50,129148,0.08032,0.18931,0.13525,0.99545,0.99527,0.99384,0.98301,0.04111,0.11165,0.10735,2.5745e-05,2.5745e-05,2.5745e-05
51,131758,0.08007,0.18622,0.13497,0.9952,0.99526,0.99386,0.98313,0.0411,0.11195,0.10727,2.525e-05,2.525e-05,2.525e-05
52,134367,0.0795,0.18642,0.13401,0.99545,0.99487,0.9939,0.98312,0.04091,0.11178,0.10682,2.4755e-05,2.4755e-05,2.4755e-05
53,136975,0.0792,0.18451,0.13357,0.99545,0.99527,0.99391,0.98285,0.04113,0.11118,0.10703,2.426e-05,2.426e-05,2.426e-05
54,139588,0.07862,0.18493,0.13297,0.99555,0.99468,0.99392,0.98285,0.04112,0.1119,0.1071,2.3765e-05,2.3765e-05,2.3765e-05
55,142227,0.07851,0.18299,0.13344,0.99548,0.99523,0.99388,0.98244,0.0411,0.1114,0.10706,2.327e-05,2.327e-05,2.327e-05
56,144857,0.07873,0.18318,0.13408,0.99542,0.99536,0.99393,0.98245,0.0411,0.11109,0.107,2.2775e-05,2.2775e-05,2.2775e-05
57,147485,0.0783,0.18287,0.13249,0.99309,0.99542,0.99379,0.98252,0.04113,0.11334,0.107,2.228e-05,2.228e-05,2.228e-05
58,150106,0.07799,0.18142,0.13189,0.99565,0.99481,0.99399,0.98271,0.04115,0.11162,0.10713,2.1785e-05,2.1785e-05,2.1785e-05
59,152729,0.07729,0.18177,0.13029,0.99532,0.99517,0.99398,0.98284,0.04098,0.11176,0.10694,2.129e-05,2.129e-05,2.129e-05
60,155351,0.07743,0.18068,0.13115,0.99496,0.99525,0.99399,0.98285,0.04082,0.11232,0.10654,2.0795e-05,2.0795e-05,2.0795e-05
61,157972,0.07777,0.1816,0.13144,0.99569,0.99483,0.99399,0.98286,0.0407,0.11096,0.10628,2.03e-05,2.03e-05,2.03e-05
62,160600,0.07727,0.17811,0.13093,0.99509,0.99482,0.99401,0.9829,0.04062,0.11081,0.1061,1.9805e-05,1.9805e-05,1.9805e-05
63,163223,0.07647,0.17854,0.12952,0.99569,0.99474,0.99401,0.98302,0.04058,0.11055,0.10601,1.931e-05,1.931e-05,1.931e-05
64,165838,0.07587,0.17877,0.12855,0.99558,0.99468,0.99401,0.98298,0.04049,0.11059,0.10583,1.8815e-05,1.8815e-05,1.8815e-05
65,168459,0.07637,0.17747,0.12903,0.99323,0.99523,0.99379,0.98284,0.04045,0.11216,0.10549,1.832e-05,1.832e-05,1.832e-05
66,171086,0.07627,0.17866,0.12906,0.99584,0.99468,0.99401,0.98313,0.0403,0.11046,0.10552,1.7825e-05,1.7825e-05,1.7825e-05
67,173706,0.07666,0.17643,0.12992,0.99572,0.99468,0.99403,0.9831,0.04029,0.11026,0.10541,1.733e-05,1.733e-05,1.733e-05
68,176330,0.07533,0.1737,0.12775,0.99595,0.99468,0.99405,0.98328,0.04018,0.11,0.10514,1.6835e-05,1.6835e-05,1.6835e-05
69,178946,0.07517,0.17545,0.12692,0.99602,0.99468,0.9941,0.98333,0.04008,0.10958,0.10485,1.634e-05,1.634e-05,1.634e-05
70,181568,0.07474,0.17699,0.12624,0.99597,0.99468,0.99412,0.98302,0.04012,0.10965,0.1049,1.5845e-05,1.5845e-05,1.5845e-05
71,184192,0.0757,0.17699,0.12832,0.99605,0.99468,0.99417,0.98312,0.04009,0.10934,0.10484,1.535e-05,1.535e-05,1.535e-05
72,186811,0.07479,0.17313,0.12706,0.99596,0.99468,0.99419,0.9832,0.04006,0.10914,0.10472,1.4855e-05,1.4855e-05,1.4855e-05
73,189432,0.07522,0.17299,0.1269,0.99568,0.99468,0.99421,0.9832,0.03997,0.10955,0.10441,1.436e-05,1.436e-05,1.436e-05
74,192057,0.07458,0.17284,0.1257,0.996,0.99468,0.99422,0.98347,0.03985,0.10878,0.1041,1.3865e-05,1.3865e-05,1.3865e-05
75,194682,0.07473,0.17371,0.12706,0.99598,0.99468,0.99425,0.98348,0.03975,0.10866,0.10388,1.337e-05,1.337e-05,1.337e-05
76,197312,0.07456,0.17219,0.12637,0.99592,0.99468,0.99426,0.98353,0.03972,0.10848,0.1038,1.2875e-05,1.2875e-05,1.2875e-05
77,199942,0.07433,0.17173,0.12607,0.99588,0.99466,0.99426,0.98352,0.03966,0.1084,0.10374,1.238e-05,1.238e-05,1.238e-05
78,202566,0.07455,0.17027,0.12582,0.9959,0.99465,0.99426,0.98354,0.03968,0.10826,0.1038,1.1885e-05,1.1885e-05,1.1885e-05
79,205192,0.07394,0.17104,0.12506,0.99568,0.99485,0.99426,0.98353,0.03962,0.10806,0.1036,1.139e-05,1.139e-05,1.139e-05
80,207817,0.07419,0.16975,0.12556,0.99475,0.99479,0.99419,0.98344,0.03953,0.11009,0.10333,1.0895e-05,1.0895e-05,1.0895e-05
